HTC Desire X dual sim black,5 000 руб.,м. Октябрьское поле,https://www.avito.ru/moskva/telefony/htc_desire_x_dual_sim_black_1144859690
Htc touch diamond,1 400 руб.,м. Войковская,https://www.avito.ru/moskva/telefony/htc_touch_diamond_790039595
HTC Desire A8181,1 500 руб.,м. Коломенская,https://www.avito.ru/moskva/telefony/htc_desire_a8181_1175784109
HTC,3 800 руб.,м. Братиславская,https://www.avito.ru/moskva/telefony/htc_1590255509
HTC 10 Lifestyle 32gb,13 000 руб.,м. Белорусская,https://www.avito.ru/moskva/telefony/htc_10_lifestyle_32gb_1288142041
Htc sensation xe with beats audio z715e,2 000 руб.,м. Октябрьское поле,https://www.avito.ru/moskva/telefony/htc_sensation_xe_with_beats_audio_z715e_1073830159
HTC One mini 2,5 000 руб.,м. Шипиловская,https://www.avito.ru/moskva/telefony/htc_one_mini_2_1155548841
HTC Desire 626G Dual Sim,5 900 руб.,м. Шипиловская,https://www.avito.ru/moskva/telefony/htc_desire_626g_dual_sim_1057182549
HTC one A9 серебристый,12 000 руб.,м. Коньково,https://www.avito.ru/moskva/telefony/htc_one_a9_serebristyy_1205288910
HTC Desire SV Black RU. Возможен Обмен,5 600 руб.,м. Савеловская,https://www.avito.ru/moskva/telefony/htc_desire_sv_black_ru._vozmozhen_obmen_1531099352
HTC Desire 516 White RU. Возможен Обмен,5 600 руб.,м. Савеловская,https://www.avito.ru/moskva/telefony/htc_desire_516_white_ru._vozmozhen_obmen_1574937584
HTC Desire 620g Dual White RU. Возможен Обмен,7 600 руб.,м. Савеловская,https://www.avito.ru/moskva/telefony/htc_desire_620g_dual_white_ru._vozmozhen_obmen_1589747997
HTC Desire 816 Dual Blue RU. Возможен Обмен,9 600 руб.,м. Савеловская,https://www.avito.ru/moskva/telefony/htc_desire_816_dual_blue_ru._vozmozhen_obmen_1505420095
HTC Touch Diamond 2,300 руб.,м. Речной вокзал,https://www.avito.ru/moskva/telefony/htc_touch_diamond_2_940644008
HTC Desire 826G Dual White RU. Возможен Обмен,12 100 руб.,м. Савеловская,https://www.avito.ru/moskva/telefony/htc_desire_826g_dual_white_ru._vozmozhen_obmen_1232980223
HTC One M8 Gray EU.Возможен Обмен,17 100 руб.,м. Савеловская,https://www.avito.ru/moskva/telefony/htc_one_m8_gray_eu.vozmozhen_obmen_987887434
HTC one m8s,12 500 руб.,м. Тульская,https://www.avito.ru/moskva/telefony/htc_one_m8s_1105956763
HTC one,2 200 руб.,м. Лермонтовский проспект,https://www.avito.ru/moskva/telefony/htc_one_960917605
HTC MAX 4G Quartz T8290,2 490 руб.,,https://www.avito.ru/moskva/telefony/htc_max_4g_quartz_t8290_609118784
HTC one m8 Dual Sim,5 500 руб.,м. Петровско-Разумовская,https://www.avito.ru/moskva/telefony/htc_one_m8_dual_sim_974965692
HTC Wildfire,1 000 руб.,м. Проспект Мира,https://www.avito.ru/moskva/telefony/htc_wildfire_1613887847
Htc one s на запчасти,2 000 руб.,м. Новые Черемушки,https://www.avito.ru/moskva/telefony/htc_one_s_na_zapchasti_957350429
Htc wildfire,1 000 руб.,м. Автозаводская,https://www.avito.ru/moskva/telefony/htc_wildfire_1314533075
